Year:year,Country:text,Oil:number,sector:text,Coal and lignite:number,obsValue:number,Natural and derived gas:number,Nuclear:number,Renewables:number,Other fuels:number,Total:number
1994,Czech Republic,,Other fuels,,0.3,,,,,
1994,Denmark,,Other fuels,,0.2,,,,,
1994,Estonia,,Other fuels,,8.7,,,,,
1994,European Union (current composition),,Other fuels,,35.4,,,,,
1994,Finland,,Other fuels,,0.0,,,,,
1994,France,,Other fuels,,2.5,,,,,
1994,Germany,,Other fuels,,9.1,,,,,
1994,Greece,,Other fuels,,0.3,,,,,
1994,Hungary,,Other fuels,,0.0,,,,,
1994,Ireland,,Other fuels,,0.3,,,,,
1994,Italy,,Other fuels,,3.5,,,,,
1994,Latvia,,Other fuels,,0.0,,,,,
1994,Lithuania,,Other fuels,,0.3,,,,,
1994,Luxembourg,,Other fuels,,0.6,,,,,
1994,Malta,,Other fuels,,0.0,,,,,
1994,Netherlands,,Other fuels,,0.8,,,,,
1994,Poland,,Other fuels,,2.4,,,,,
1994,Portugal,,Other fuels,,0.0,,,,,
1994,Romania,,Other fuels,,0.1,,,,,
1994,Slovakia,,Other fuels,,0.3,,,,,
1994,Slovenia,,Other fuels,,0.0,,,,,
1994,Spain,,Other fuels,,1.1,,,,,
1994,Sweden,,Other fuels,,0.4,,,,,
1994,United Kingdom,,Other fuels,,1.8,,,,,
1995,Austria,,Other fuels,,1.1,,,,,
1995,Belgium,,Other fuels,,1.6,,,,,
1995,Bulgaria,,Other fuels,,0.0,,,,,
1995,Croatia,,Other fuels,,0.0,,,,,
1995,Cyprus,,Other fuels,,0.0,,,,,
1995,Czech Republic,,Other fuels,,0.3,,,,,
1995,Denmark,,Other fuels,,0.3,,,,,
1995,Estonia,,Other fuels,,8.3,,,,,
1995,European Union (current composition),,Other fuels,,39.0,,,,,
1995,Finland,,Other fuels,,0.0,,,,,
1995,France,,Other fuels,,3.4,,,,,
1995,Germany,,Other fuels,,9.7,,,,,
1995,Greece,,Other fuels,,0.4,,,,,
1995,Hungary,,Other fuels,,0.0,,,,,
1995,Ireland,,Other fuels,,0.3,,,,,
1995,Italy,,Other fuels,,4.7,,,,,
1995,Latvia,,Other fuels,,0.0,,,,,
1995,Lithuania,,Other fuels,,0.4,,,,,
1995,Luxembourg,,Other fuels,,0.8,,,,,
1995,Malta,,Other fuels,,0.0,,,,,
1995,Netherlands,,Other fuels,,0.9,,,,,
1995,Poland,,Other fuels,,2.3,,,,,
1995,Portugal,,Other fuels,,0.1,,,,,
1995,Romania,,Other fuels,,0.2,,,,,
1995,Slovakia,,Other fuels,,0.3,,,,,
1995,Slovenia,,Other fuels,,0.0,,,,,
1995,Spain,,Other fuels,,1.8,,,,,
1995,Sweden,,Other fuels,,0.1,,,,,
1995,United Kingdom,,Other fuels,,2.0,,,,,
1996,Austria,,Other fuels,,1.5,,,,,
1996,Belgium,,Other fuels,,1.7,,,,,
1996,Bulgaria,,Other fuels,,0.0,,,,,
1996,Croatia,,Other fuels,,0.0,,,,,
1996,Cyprus,,Other fuels,,0.0,,,,,
1996,Czech Republic,,Other fuels,,0.4,,,,,
1996,Denmark,,Other fuels,,0.4,,,,,
1996,Estonia,,Other fuels,,8.7,,,,,
1996,European Union (current composition),,Other fuels,,43.1,,,,,
1996,Finland,,Other fuels,,0.3,,,,,
1996,France,,Other fuels,,4.7,,,,,
1996,Germany,,Other fuels,,10.2,,,,,
1996,Greece,,Other fuels,,0.3,,,,,
1996,Hungary,,Other fuels,,0.0,,,,,
1996,Ireland,,Other fuels,,0.3,,,,,
1996,Italy,,Other fuels,,5.6,,,,,
1996,Latvia,,Other fuels,,0.0,,,,,
1996,Lithuania,,Other fuels,,0.6,,,,,
1996,Luxembourg,,Other fuels,,0.8,,,,,
1996,Malta,,Other fuels,,0.0,,,,,
1996,Netherlands,,Other fuels,,1.1,,,,,
1996,Poland,,Other fuels,,2.3,,,,,
1996,Portugal,,Other fuels,,0.1,,,,,
1996,Romania,,Other fuels,,0.3,,,,,
1996,Slovakia,,Other fuels,,0.3,,,,,
1996,Slovenia,,Other fuels,,0.0,,,,,
1996,Spain,,Other fuels,,1.5,,,,,
1996,Sweden,,Other fuels,,0.1,,,,,
1996,United Kingdom,,Other fuels,,2.0,,,,,
1997,Austria,,Other fuels,,1.2,,,,,
1997,Belgium,,Other fuels,,1.6,,,,,
1997,Bulgaria,,Other fuels,,0.2,,,,,
1997,Croatia,,Other fuels,,0.0,,,,,
1997,Cyprus,,Other fuels,,0.0,,,,,
1997,Czech Republic,,Other fuels,,0.4,,,,,
1997,Denmark,,Other fuels,,0.4,,,,,
1997,Estonia,,Other fuels,,8.7,,,,,
1997,European Union (current composition),,Other fuels,,42.4,,,,,
1997,Finland,,Other fuels,,0.3,,,,,
1997,France,,Other fuels,,4.3,,,,,
1997,Germany,,Other fuels,,9.2,,,,,
1997,Greece,,Other fuels,,0.3,,,,,
1997,Hungary,,Other fuels,,0.0,,,,,
1997,Ireland,,Other fuels,,0.3,,,,,
1997,Italy,,Other fuels,,5.9,,,,,
1997,Latvia,,Other fuels,,0.0,,,,,
1997,Lithuania,,Other fuels,,0.5,,,,,
1997,Luxembourg,,Other fuels,,0.9,,,,,
1997,Malta,,Other fuels,,0.0,,,,,
1997,Netherlands,,Other fuels,,1.3,,,,,
1997,Poland,,Other fuels,,2.3,,,,,
1997,Portugal,,Other fuels,,0.1,,,,,
1997,Romania,,Other fuels,,0.4,,,,,
1997,Slovakia,,Other fuels,,0.3,,,,,
1997,Slovenia,,Other fuels,,0.0,,,,,
1997,Spain,,Other fuels,,1.9,,,,,
1997,Sweden,,Other fuels,,0.1,,,,,
1997,United Kingdom,,Other fuels,,2.0,,,,,
1998,Austria,,Other fuels,,1.2,,,,,
1998,Belgium,,Other fuels,,1.8,,,,,
1998,Bulgaria,,Other fuels,,0.2,,,,,
1998,Croatia,,Other fuels,,0.0,,,,,
1998,Cyprus,,Other fuels,,0.0,,,,,
1998,Czech Republic,,Other fuels,,0.5,,,,,
1998,Denmark,,Other fuels,,0.4,,,,,
1998,Estonia,,Other fuels,,7.9,,,,,
1998,European Union (current composition),,Other fuels,,46.3,,,,,
1998,Finland,,Other fuels,,0.4,,,,,
1998,France,,Other fuels,,4.6,,,,,
1998,Germany,,Other fuels,,10.7,,,,,
1998,Greece,,Other fuels,,0.3,,,,,
1998,Hungary,,Other fuels,,0.1,,,,,
1998,Ireland,,Other fuels,,0.3,,,,,
1998,Italy,,Other fuels,,7.3,,,,,
1998,Latvia,,Other fuels,,0.0,,,,,
1998,Lithuania,,Other fuels,,0.5,,,,,
1998,Luxembourg,,Other fuels,,1.0,,,,,
1998,Malta,,Other fuels,,0.0,,,,,
1998,Netherlands,,Other fuels,,1.3,,,,,
1998,Poland,,Other fuels,,2.0,,,,,
1998,Portugal,,Other fuels,,0.1,,,,,
1998,Romania,,Other fuels,,0.5,,,,,
1998,Slovakia,,Other fuels,,0.3,,,,,
1998,Slovenia,,Other fuels,,0.0,,,,,
1998,Spain,,Other fuels,,2.5,,,,,
1998,Sweden,,Other fuels,,0.3,,,,,
1998,United Kingdom,,Other fuels,,2.2,,,,,
1999,Austria,,Other fuels,,1.2,,,,,
1999,Belgium,,Other fuels,,1.9,,,,,
1999,Bulgaria,,Other fuels,,0.3,,,,,
1999,Croatia,,Other fuels,,0.0,,,,,
1999,Cyprus,,Other fuels,,0.0,,,,,
1999,Czech Republic,,Other fuels,,0.5,,,,,
1999,Denmark,,Other fuels,,0.5,,,,,
1999,Estonia,,Other fuels,,7.6,,,,,
1999,European Union (current composition),,Other fuels,,47.5,,,,,
1999,Finland,,Other fuels,,0.3,,,,,
1999,France,,Other fuels,,5.4,,,,,
1999,Germany,,Other fuels,,8.5,,,,,
1999,Greece,,Other fuels,,0.4,,,,,
1999,Hungary,,Other fuels,,0.1,,,,,
1999,Ireland,,Other fuels,,0.2,,,,,
1999,Italy,,Other fuels,,7.8,,,,,
1999,Latvia,,Other fuels,,0.0,,,,,
1999,Lithuania,,Other fuels,,0.5,,,,,
1999,Luxembourg,,Other fuels,,0.7,,,,,
1999,Malta,,Other fuels,,0.0,,,,,
1999,Netherlands,,Other fuels,,1.4,,,,,
1999,Poland,,Other fuels,,2.2,,,,,
1999,Portugal,,Other fuels,,0.5,,,,,
1999,Romania,,Other fuels,,0.2,,,,,
1999,Slovakia,,Other fuels,,0.3,,,,,
1999,Slovenia,,Other fuels,,0.0,,,,,
1999,Spain,,Other fuels,,3.4,,,,,
1999,Sweden,,Other fuels,,0.2,,,,,
1999,United Kingdom,,Other fuels,,3.5,,,,,
2000,Austria,,Other fuels,,1.5,,,,,
2000,Belgium,,Other fuels,,2.0,,,,,
2000,Bulgaria,,Other fuels,,0.3,,,,,
2000,Croatia,,Other fuels,,0.0,,,,,
2000,Cyprus,,Other fuels,,0.0,,,,,
2000,Czech Republic,,Other fuels,,0.6,,,,,
2000,Denmark,,Other fuels,,0.6,,,,,
2000,Estonia,,Other fuels,,7.7,,,,,
2000,European Union (current composition),,Other fuels,,51.5,,,,,
2000,Finland,,Other fuels,,0.3,,,,,
2000,France,,Other fuels,,5.9,,,,,
2000,Germany,,Other fuels,,10.0,,,,,
2000,Greece,,Other fuels,,0.6,,,,,
2000,Hungary,,Other fuels,,0.1,,,,,
2000,Ireland,,Other fuels,,0.3,,,,,
2000,Italy,,Other fuels,,8.0,,,,,
2000,Latvia,,Other fuels,,0.0,,,,,
2000,Lithuania,,Other fuels,,0.4,,,,,
2000,Luxembourg,,Other fuels,,0.8,,,,,
2000,Malta,,Other fuels,,0.0,,,,,
2000,Netherlands,,Other fuels,,1.5,,,,,
2000,Poland,,Other fuels,,2.1,,,,,
2000,Portugal,,Other fuels,,0.6,,,,,
2000,Romania,,Other fuels,,0.4,,,,,
2000,Slovakia,,Other fuels,,0.4,,,,,
2000,Slovenia,,Other fuels,,0.0,,,,,
2000,Spain,,Other fuels,,4.2,,,,,
2000,Sweden,,Other fuels,,0.3,,,,,
2000,United Kingdom,,Other fuels,,3.2,,,,,
2001,Austria,,Other fuels,,1.6,,,,,
2001,Belgium,,Other fuels,,2.2,,,,,
2001,Bulgaria,,Other fuels,,0.4,,,,,
2001,Croatia,,Other fuels,,0.0,,,,,
2001,Cyprus,,Other fuels,,0.0,,,,,
2001,Czech Republic,,Other fuels,,0.4,,,,,
2001,Denmark,,Other fuels,,0.6,,,,,
2001,Estonia,,Other fuels,,7.6,,,,,
2001,European Union (current composition),,Other fuels,,55.4,,,,,
2001,Finland,,Other fuels,,0.3,,,,,
2001,France,,Other fuels,,5.7,,,,,
2001,Germany,,Other fuels,,12.4,,,,,
2001,Greece,,Other fuels,,0.7,,,,,
2001,Hungary,,Other fuels,,0.1,,,,,
2001,Ireland,,Other fuels,,0.3,,,,,
2001,Italy,,Other fuels,,8.7,,,,,
2001,Latvia,,Other fuels,,0.0,,,,,
2001,Lithuania,,Other fuels,,0.4,,,,,
2001,Luxembourg,,Other fuels,,0.8,,,,,
2001,Malta,,Other fuels,,0.0,,,,,
2001,Netherlands,,Other fuels,,1.4,,,,,
2001,Poland,,Other fuels,,2.0,,,,,
2001,Portugal,,Other fuels,,0.6,,,,,
2001,Romania,,Other fuels,,0.3,,,,,
2001,Slovakia,,Other fuels,,0.2,,,,,
2001,Slovenia,,Other fuels,,0.0,,,,,
2001,Spain,,Other fuels,,3.3,,,,,
2001,Sweden,,Other fuels,,0.3,,,,,
2001,United Kingdom,,Other fuels,,4.9,,,,,
2002,Austria,,Other fuels,,2.0,,,,,
2002,Belgium,,Other fuels,,2.1,,,,,
2002,Bulgaria,,Other fuels,,0.5,,,,,
2002,Croatia,,Other fuels,,0.1,,,,,
2002,Cyprus,,Other fuels,,0.0,,,,,
2002,Czech Republic,,Other fuels,,0.4,,,,,
2002,Denmark,,Other fuels,,0.6,,,,,
2002,Estonia,,Other fuels,,7.6,,,,,
2002,European Union (current composition),,Other fuels,,60.2,,,,,
2002,Finland,,Other fuels,,0.4,,,,,
2002,France,,Other fuels,,7.0,,,,,
2002,Germany,,Other fuels,,11.9,,,,,
2002,Greece,,Other fuels,,0.8,,,,,
2002,Hungary,,Other fuels,,0.0,,,,,
2002,Ireland,,Other fuels,,0.4,,,,,
2002,Italy,,Other fuels,,9.3,,,,,
2002,Latvia,,Other fuels,,0.0,,,,,
2002,Lithuania,,Other fuels,,0.6,,,,,
2002,Luxembourg,,Other fuels,,0.9,,,,,
2002,Malta,,Other fuels,,0.0,,,,,
2002,Netherlands,,Other fuels,,1.5,,,,,
2002,Poland,,Other fuels,,1.8,,,,,
2002,Portugal,,Other fuels,,0.7,,,,,
2002,Romania,,Other fuels,,0.3,,,,,
2002,Slovakia,,Other fuels,,0.2,,,,,
2002,Slovenia,,Other fuels,,0.0,,,,,
2002,Spain,,Other fuels,,5.3,,,,,
2002,Sweden,,Other fuels,,0.3,,,,,
2002,United Kingdom,,Other fuels,,5.5,,,,,
2003,Austria,,Other fuels,,2.3,,,,,
2003,Belgium,,Other fuels,,1.8,,,,,
2003,Bulgaria,,Other fuels,,0.3,,,,,
2003,Croatia,,Other fuels,,0.1,,,,,
2003,Cyprus,,Other fuels,,0.0,,,,,
2003,Czech Republic,,Other fuels,,0.4,,,,,
2003,Denmark,,Other fuels,,0.7,,,,,
2003,Estonia,,Other fuels,,9.3,,,,,
2003,European Union (current composition),,Other fuels,,58.3,,,,,
2003,Finland,,Other fuels,,0.4,,,,,
2003,France,,Other fuels,,7.0,,,,,
2003,Germany,,Other fuels,,9.5,,,,,
2003,Greece,,Other fuels,,0.7,,,,,
2003,Hungary,,Other fuels,,0.0,,,,,
2003,Ireland,,Other fuels,,0.4,,,,,
2003,Italy,,Other fuels,,9.6,,,,,
2003,Latvia,,Other fuels,,0.0,,,,,
2003,Lithuania,,Other fuels,,0.8,,,,,
2003,Luxembourg,,Other fuels,,0.9,,,,,
2003,Malta,,Other fuels,,0.0,,,,,
2003,Netherlands,,Other fuels,,1.6,,,,,
2003,Poland,,Other fuels,,1.7,,,,,
2003,Portugal,,Other fuels,,0.6,,,,,
2003,Romania,,Other fuels,,0.3,,,,,
2003,Slovakia,,Other fuels,,0.2,,,,,
2003,Slovenia,,Other fuels,,0.0,,,,,
2003,Spain,,Other fuels,,3.7,,,,,
2003,Sweden,,Other fuels,,0.4,,,,,
2003,United Kingdom,,Other fuels,,5.6,,,,,
2004,Austria,,Other fuels,,2.5,,,,,
2004,Belgium,,Other fuels,,2.2,,,,,
2004,Bulgaria,,Other fuels,,0.2,,,,,
2004,Croatia,,Other fuels,,0.1,,,,,
2004,Cyprus,,Other fuels,,0.0,,,,,
2004,Czech Republic,,Other fuels,,0.6,,,,,
2004,Denmark,,Other fuels,,0.7,,,,,
2004,Estonia,,Other fuels,,9.5,,,,,
2004,European Union (current composition),,Other fuels,,62.8,,,,,
2004,Finland,,Other fuels,,0.5,,,,,
2004,France,,Other fuels,,7.1,,,,,
2004,Germany,,Other fuels,,10.7,,,,,
2004,Greece,,Other fuels,,0.7,,,,,
2004,Hungary,,Other fuels,,0.0,,,,,
2004,Ireland,,Other fuels,,0.4,,,,,
2004,Italy,,Other fuels,,9.9,,,,,
2004,Latvia,,Other fuels,,0.0,,,,,
2004,Lithuania,,Other fuels,,0.7,,,,,
2004,Luxembourg,,Other fuels,,0.8,,,,,
2004,Malta,,Other fuels,,0.0,,,,,
2004,Netherlands,,Other fuels,,1.5,,,,,
2004,Poland,,Other fuels,,1.9,,,,,
2004,Portugal,,Other fuels,,0.5,,,,,
2004,Romania,,Other fuels,,0.0,,,,,
2004,Slovakia,,Other fuels,,0.1,,,,,
2004,Slovenia,,Other fuels,,0.0,,,,,
2004,Spain,,Other fuels,,6.6,,,,,
2004,Sweden,,Other fuels,,0.9,,,,,
2004,United Kingdom,,Other fuels,,4.8,,,,,
2005,Austria,,Other fuels,,2.8,,,,,
2005,Belgium,,Other fuels,,2.2,,,,,
2005,Bulgaria,,Other fuels,,0.4,,,,,
2005,Croatia,,Other fuels,,0.1,,,,,
2005,Cyprus,,Other fuels,,0.0,,,,,
2005,Czech Republic,,Other fuels,,0.7,,,,,
2005,Denmark,,Other fuels,,0.8,,,,,
2005,Estonia,,Other fuels,,9.3,,,,,
2005,European Union (current composition),,Other fuels,,69.4,,,,,
2005,Finland,,Other fuels,,0.4,,,,,
2005,France,,Other fuels,,6.5,,,,,
2005,Germany,,Other fuels,,13.3,,,,,
2005,Greece,,Other fuels,,0.7,,,,,
2005,Hungary,,Other fuels,,0.1,,,,,
2005,Ireland,,Other fuels,,0.3,,,,,
2005,Italy,,Other fuels,,9.5,,,,,
2005,Latvia,,Other fuels,,0.0,,,,,
2005,Lithuania,,Other fuels,,0.6,,,,,
2005,Luxembourg,,Other fuels,,0.8,,,,,
2005,Malta,,Other fuels,,0.0,,,,,
2005,Netherlands,,Other fuels,,1.7,,,,,
2005,Poland,,Other fuels,,1.9,,,,,
2005,Portugal,,Other fuels,,0.7,,,,,
2005,Romania,,Other fuels,,0.0,,,,,
2005,Slovakia,,Other fuels,,0.1,,,,,
2005,Slovenia,,Other fuels,,0.0,,,,,
2005,Spain,,Other fuels,,10.1,,,,,
2005,Sweden,,Other fuels,,0.9,,,,,
2005,United Kingdom,,Other fuels,,5.5,,,,,
2006,Austria,,Other fuels,,3.0,,,,,
2006,Belgium,,Other fuels,,2.4,,,,,
2006,Bulgaria,,Other fuels,,0.3,,,,,
2006,Croatia,,Other fuels,,0.1,,,,,
2006,Cyprus,,Other fuels,,0.0,,,,,
2006,Czech Republic,,Other fuels,,0.7,,,,,
2006,Denmark,,Other fuels,,0.8,,,,,
2006,Estonia,,Other fuels,,8.8,,,,,
2006,European Union (current composition),,Other fuels,,65.8,,,,,
2006,Finland,,Other fuels,,0.4,,,,,
2006,France,,Other fuels,,7.0,,,,,
2006,Germany,,Other fuels,,14.4,,,,,
2006,Greece,,Other fuels,,0.6,,,,,
2006,Hungary,,Other fuels,,0.1,,,,,
2006,Ireland,,Other fuels,,0.4,,,,,
2006,Italy,,Other fuels,,9.1,,,,,
2006,Latvia,,Other fuels,,0.0,,,,,
2006,Lithuania,,Other fuels,,0.6,,,,,
2006,Luxembourg,,Other fuels,,0.8,,,,,
2006,Malta,,Other fuels,,0.0,,,,,
2006,Netherlands,,Other fuels,,1.6,,,,,
2006,Poland,,Other fuels,,1.3,,,,,
2006,Portugal,,Other fuels,,0.8,,,,,
2006,Romania,,Other fuels,,0.0,,,,,
2006,Slovakia,,Other fuels,,0.2,,,,,
2006,Slovenia,,Other fuels,,0.0,,,,,
2006,Spain,,Other fuels,,4.8,,,,,
2006,Sweden,,Other fuels,,1.1,,,,,
2006,United Kingdom,,Other fuels,,6.2,,,,,
2007,Austria,,Other fuels,,2.7,,,,,
2007,Belgium,,Other fuels,,2.6,,,,,
2007,Bulgaria,,Other fuels,,0.4,,,,,
2007,Croatia,,Other fuels,,0.2,,,,,
2007,Cyprus,,Other fuels,,0.0,,,,,
2007,Czech Republic,,Other fuels,,0.4,,,,,
2007,Denmark,,Other fuels,,0.8,,,,,
2007,Estonia,,Other fuels,,11.4,,,,,
2007,European Union (current composition),,Other fuels,,65.6,,,,,
2007,Finland,,Other fuels,,0.4,,,,,
2007,France,,Other fuels,,7.8,,,,,
2007,Germany,,Other fuels,,13.8,,,,,
2007,Greece,,Other fuels,,0.8,,,,,
2007,Hungary,,Other fuels,,0.1,,,,,
2007,Ireland,,Other fuels,,0.3,,,,,
2007,Italy,,Other fuels,,8.4,,,,,
2007,Latvia,,Other fuels,,0.0,,,,,
2007,Lithuania,,Other fuels,,0.8,,,,,
2007,Luxembourg,,Other fuels,,0.8,,,,,
2007,Malta,,Other fuels,,0.0,,,,,
2007,Netherlands,,Other fuels,,1.7,,,,,
2007,Poland,,Other fuels,,0.9,,,,,
2007,Portugal,,Other fuels,,0.6,,,,,
2007,Romania,,Other fuels,,0.0,,,,,
2007,Slovakia,,Other fuels,,0.2,,,,,
2007,Slovenia,,Other fuels,,0.0,,,,,
2007,Spain,,Other fuels,,4.3,,,,,
2007,Sweden,,Other fuels,,0.9,,,,,
2007,United Kingdom,,Other fuels,,5.2,,,,,
2008,Austria,,Other fuels,,2.9,,,,,
2008,Belgium,,Other fuels,,2.7,,,,,
2008,Bulgaria,,Other fuels,,0.5,,,,,
2008,Croatia,,Other fuels,,0.1,,,,,
2008,Cyprus,,Other fuels,,0.0,,,,,
2008,Czech Republic,,Other fuels,,0.4,,,,,
2008,Denmark,,Other fuels,,0.9,,,,,
2008,Estonia,,Other fuels,,9.6,,,,,
2008,European Union (current composition),,Other fuels,,63.1,,,,,
2008,Finland,,Other fuels,,0.6,,,,,
2008,France,,Other fuels,,6.9,,,,,
2008,Germany,,Other fuels,,13.3,,,,,
2008,Greece,,Other fuels,,0.9,,,,,
2008,Hungary,,Other fuels,,0.1,,,,,
2008,Ireland,,Other fuels,,0.3,,,,,
2008,Italy,,Other fuels,,8.2,,,,,
2008,Latvia,,Other fuels,,0.0,,,,,
2008,Lithuania,,Other fuels,,0.8,,,,,
2008,Luxembourg,,Other fuels,,0.9,,,,,
2008,Malta,,Other fuels,,0.0,,,,,
2008,Netherlands,,Other fuels,,1.6,,,,,
2008,Poland,,Other fuels,,0.7,,,,,
2008,Portugal,,Other fuels,,0.8,,,,,
2008,Romania,,Other fuels,,0.0,,,,,
2008,Slovakia,,Other fuels,,0.3,,,,,
2008,Slovenia,,Other fuels,,0.0,,,,,
2008,Spain,,Other fuels,,3.9,,,,,
2008,Sweden,,Other fuels,,1.0,,,,,
